iter	Logloss
0	0.4336038028
1	0.2790002594
2	0.1850058729
3	0.1182131056
4	0.07692182614
5	0.0495324876
6	0.03423349224
7	0.02343800972
8	0.0162250985
9	0.0120531307
10	0.009159132231
11	0.007095323646
12	0.005483090181
13	0.004451652536
14	0.003774208407
15	0.003153673845
16	0.002736585406
17	0.002293402491
18	0.001950570154
19	0.001680783569
20	0.00149210333
21	0.001338889029
22	0.00120742075
23	0.001099126086
24	0.001026098315
25	0.000957782776
26	0.0008830315641
27	0.0008179738267
28	0.0007467024379
29	0.0006869381615
30	0.0006514077489
31	0.0006060761632
32	0.0005642399778
33	0.0005343447009
34	0.0005137775789
35	0.0004931110087
36	0.0004931007616
37	0.0004930643306
38	0.000493054159
39	0.0004626631781
40	0.0004354792678
41	0.000417454412
42	0.0004174501069
43	0.0004058986071
44	0.0004058986071
45	0.0004058943113
46	0.000405877331
47	0.0004058717322
48	0.0004058674369
49	0.0004058515102
50	0.0004057907695
51	0.0004057394225
52	0.0004057394225
53	0.0004057394225
54	0.00040573513
55	0.0004057308376
56	0.0004057252426
57	0.0004057252426
58	0.000405660281
59	0.0004055953409
60	0.0004055653054
61	0.00040549669
62	0.0004054642451
63	0.0004054642451
64	0.0004054642451
65	0.0004054642451
66	0.0004054642451
67	0.0004054642451
68	0.0004054642451
69	0.0004054642451
70	0.0004054642451
71	0.0004054642451
72	0.0004054642451
73	0.0003848298811
74	0.0003848237912
75	0.0003848164058
76	0.0003848136751
77	0.0003847878964
78	0.0003847847621
79	0.0003847715756
80	0.0003847615247
81	0.0003846811295
82	0.0003846529258
83	0.0003846471723
84	0.0003846087622
85	0.0003845932702
86	0.0003845622631
87	0.0003845421833
88	0.0003844464239
89	0.0003844429026
90	0.0003844318507
91	0.0003844288237
92	0.0003844142283
93	0.0003844107638
94	0.0003844107638
95	0.0003844043602
96	0.000384365997
97	0.0003843592514
98	0.000384340074
99	0.0003843367073
100	0.000384287612
101	0.0003842451989
102	0.0003842415534
103	0.0003842415534
104	0.0003842355015
105	0.000384223234
106	0.000384219589
107	0.0003842085517
108	0.000384202506
109	0.0003841441968
110	0.0003840963134
111	0.0003840907984
112	0.0003840880585
113	0.0003840823051
114	0.0003840786629
115	0.0003840678928
116	0.0003840648287
117	0.0003840538009
118	0.0003840538009
119	0.0003840538009
120	0.0003840538009
121	0.0003840538009
122	0.0003840538009
123	0.0003840538009
124	0.0003840538009
125	0.0003840538009
126	0.0003840538009
127	0.0003840538009
128	0.0003840477552
129	0.0003840477552
130	0.0003840477552
131	0.0003840477552
132	0.0003840477552
133	0.0003840477552
134	0.0003840477552
135	0.0003840477552
136	0.0003840477552
137	0.0003840477552
138	0.0003839998831
139	0.0003839998831
140	0.0003839998831
141	0.0003839998831
142	0.0003839998831
143	0.0003839998831
144	0.0003839998831
145	0.0003839998831
146	0.0003839998831
147	0.0003839998831
148	0.0003839998831
149	0.0003839998831
150	0.0003839998831
151	0.0003839998831
152	0.0003839998831
153	0.0003839998831
154	0.0003839998831
155	0.0003839998831
156	0.0003839998831
157	0.0003839998831
158	0.0003839998831
159	0.0003839998831
160	0.0003839998831
161	0.0003839998831
162	0.0003839998831
163	0.0003839998831
164	0.0003839998831
165	0.0003839998831
166	0.0003839998831
167	0.0003839998831
168	0.0003839998831
169	0.0003839998831
170	0.0003839998831
171	0.0003839998831
172	0.0003839998831
173	0.0003839998831
174	0.0003839998831
175	0.0003839998831
176	0.0003839998831
177	0.0003839998831
178	0.0003839998831
179	0.0003839998831
180	0.0003839998831
181	0.0003839998831
182	0.0003839998831
183	0.0003839998831
184	0.0003839998831
185	0.0003839998831
186	0.0003839998831
187	0.0003839998831
188	0.0003839998831
189	0.0003839998831
190	0.0003839998831
191	0.0003839998831
192	0.0003839998831
193	0.0003839998831
194	0.0003839998831
195	0.0003839998831
196	0.0003839998831
197	0.0003839998831
198	0.0003839998831
199	0.0003839998831
